"polygon_id","polygon_name","polygon_level","polygon_version","country","business_vertical","activity_quantile","latitude","longitude","ds"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Retail","0.669170975093138","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Lifestyle Services","0.640963012886629","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Travel","0.6251529055426925","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Local Events","0.7291027301741807","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Professional Services","0.6769649740635958","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Restaurants","0.7136005423995506","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","All","0.679345554440313","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Manufacturing","0.6620438001821024","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.8_1","Sevilla","GADM2","3.6","ES","Home Services","0.6555570748951572","37.43570737839507","-5.6826045124136195","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","Lifestyle Services","0.7243338287035465","37.312508627700836","-3.26776827578156","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","Professional Services","0.6833515662237742","37.312508627700836","-3.26776827578156","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","Restaurants","0.7111738757226839","37.312508627700836","-3.26776827578156","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","All","0.6847279945371726","37.312508627700836","-3.26776827578156","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","Manufacturing","0.6284382672792808","37.312508627700836","-3.26776827578156","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","Business & Utility Services","0.5922860937861593","37.312508627700836","-3.26776827578156","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","Retail","0.6738756179245625","37.312508627700836","-3.26776827578156","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","Home Services","0.6497469752741264","37.312508627700836","-3.26776827578156","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","Grocery & Convenience Stores","0.6408226102970037","37.312508627700836","-3.26776827578156","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","Travel","0.7143807223803202","37.312508627700836","-3.26776827578156","2024-10-30"
"ESP.1.4_1","Granada","GADM2","3.6","ES","Public Good","0.7479827903971247","37.312508627700836","-3.26776827578156","2024-10-30"
